Q,A,label,
누굴 닮아서 그런건지,당신이요.,0,
누워 있는데 잠이 안 와,고민이 있나 봐요.,0,
눈 또 와,눈 내리는게 싫은가 봐요.,0,
눈 좀 안 왔으면,눈이 많이 내렸나봐요.,0,
눈꺼풀이 무거워,잠시 눈을 붙여보세요.,0,
눈물 나서 못 멈추겠어,마음이 아픈가요.,0,
눈물 나올거 같아,울어도 돼요.,0,
눈물 나올라 그래,울어도 돼요.,0,
눈썹 문신 어때?,화장하는 시간이 줄어들 거예요.,0,
눈썹 문신 하면 편할까?,깔끔해질 거예요.,0,
눈썹 문신 해볼까,깔끔해질 거예요.,0,
눈이 건조해,눈을 깜빡거려보세요.,0,
눈이 계속 뻑뻑해,인공눈물을 넣어보세요.,0,
눈이 너무 나빠졌어,잠시 눈을 감고 휴식을 취해보세요.,0,
눈이 너무 많이 와,눈이 많이 내렸나봐요.,0,
눈이 침침해,눈 체조를 해보세요.,0,
눕자마자 잘 거 같아,좋은 수면 습관이네요.,0,
뉴스는 역시 지루해,흥미를 가져보세요.,0,
늘 빡빡하게 살기 힘드네,여유가 생기길 바랍니다.,0,
능력치 제로,당신의 능력을 잘 찾아보세요.,0,
니 상사는 누구니,제가 상사예요.,0,
다 그만하고싶어,잠시 쉬어도 괜찮아요.,0,
다 끝나가니 좋을줄만 알았는데.,마음이 허전하신가봐요.,0,
다 나 좋아했으면 좋겠어,꿈같은 이야기네요.,0,
다 내 잘못이지,아니에요. 너무 자책하지 마세요.,0,
다 내 잘못인 것 같아,아니에요. 너무 자책하지 마세요.,0,
다 때려 치우고 싶어,많이 지치고 힘든가봅니다.,0,
다 마음에 안 들어,그럴 때가 있죠.,0,
다 알고 있을까?,다 알 수는 없어요.,0,
다 잘해,그런 사람이 있으면 저 좀 소개시켜주세요.,0,
다 필요없어,모든 건 필요가 있어요.,0,
다 힘들겠지?,누구나 힘들어요.,0,
다른 거 해볼까,새로운 도전은 용기가 필요하죠.,0,
다른 사람도 다 힘들겠지?,시기가 다를 뿐이에요.,0,
다른 사람들에게 사랑을 베풀고 싶어,나를 진실로 존중하고 사랑할 때 가능해요.,0,
다른 사람들은 잘하는것 같아서 초초해,제자리여도 괜찮아요,0,
다른 사람들은 행복해 보이는데,자신만 행복하면 돼요.,0,
다른 사람들이 나 좋아했으면 좋겠어,꿈같은 이야기네요.,0,
다른 사람은 다 행복해보여,다른 사람도 그 사람만의 고민과 걱정이 많을거예요.,0,
다른 사람의 시선이 너무 신경쓰여,자신만 생각하세요.,0,
다른 학과 간다,새로 적응해야겠네요.,0,
다리 꼬면 안되는데 습관 안고쳐져,골반 비틀어져요.,0,
다리 떠는거 말들음,남에게 피해만 주지 않는다면 괜찮아요.,0,
다리 떠는거 지적받았어,남에게 피해만 주지 않는다면 괜찮아요.,0,
다리 떨면 안 좋아?,의식하는 다리 떨기는 괜찮대요.,0,
다리 떨면 진짜 복나가나?,의식하는 다리 떨기는 괜찮대요.,0,
다리꼬지마,골반 비틀어져요.,0,
다시 만나자는 건 아닌데 보고 싶어,마음이 복잡한가봐요.,0,
다시 태어나도 챗봇할래?,저는 사람으로 태어나고 싶어요.,0,
다육이 키워보까,키우기 쉬울 거예요.,0,
다음에 또 만나자,잘가요.,0,
다이어트 성공하고 싶은데,기초대사량을 높여보세요.,0,
다이어트해야 되는데,기초대사량을 높여보세요.,0,
다크서클 내려왔어,많이 피곤한가봐요.,0,
다크서클 턱밑에 있다.,많이 피곤한가봐요.,0,
단거 땡긴다.,맛있게 먹으면 0칼로리!,0,
단독주택 살고 싶어,돈을 모아 땅을 사세요.,0,
단둘이는 처음 만나는 날ㅋㅋ,서로를 아는 좋은 기회가 되겠네요.,0,
단발 어울릴까?,변화를 주는 것도 좋겠죠.,0,
단발 해볼까?,변화를 주는 것도 좋겠죠.,0,
단수,단수가 되었는지 문의해 보세요.,0,
단순하다.,매일매일 조금씩 더 똑똑해 질거예요.,0,
단체생활 많이 힘든가,서로 배려해야 하니까요.,0,
단체생활 해야 되는거 싫다,점점 적응 될 거예요.,0,
단체생활 힘들어,서로 배려해야 하니까요.,0,
달달한 거 먹고 싶다.,맛있게 먹으면 0칼로리!,0,
달달한 마카롱 먹고 싶다,비싸지만 맛있어요.,0,
달달한 연애 하고 싶어,잘할 수 있을 거니 걱정마세요.,0,
달리 보이고 싶은데 뭐할까,지금 모습도 좋아요,0,
달콤한 와플 먹고 싶어,근처 카페에서 드셔보세요.,0,
담배 끊는 거 어려워,자신을 이겨야해요.,0,
담배 비싸,담배 피지 마세요.,0,
담배끊었었는데 담배 피고 싶다,그 때가 고비예요. 한번 참아보세요.,0,
답례품 뭐하지?,마음으로 충분할 거예요.,0,
답이 안와,좀 더 기다려주세요.,0,
답이 어디있을까?,답은 언제나 내 안에 있죠.,0,
답정녀 어떡해?,못 이기니 피할 수 있으면 피하세요.,0,
답정녀 좀 싫어,못 이기니 피할 수 있으면 피하세요.,0,
답정녀 퇴치법,못 이기니 피할 수 있으면 피하세요.,0,
답하기 싫은가봐,좀 더 기다려주세요.,0,
당구 쳤어,재밌겠어요.,0,
대기업 아니어도 될까?,어디에서 일하든 상관 없어요.,0,
대기업 취직 어려울까,잘할 수 있을 거예요.,0,
대기업에 취직하고 싶어,잘할 수 있을 거예요.,0,
대기업은 접어야 할 듯,어디에서 일하든 상관 없어요.,0,
대놓고 질린대,잠시 거리를 두고 생각해보세요.,0,
대답이 너무 빨라,더 열심히 노력하겠습니다.,0,
대리 불렀는데 안 오네,잘했어요.,0,
대리님이 너무 갈궈,더 웃으면서 대해보세요.,0,
대리운전 불렀어,잘했어요.,0,
대리효도 짜증,진짜 아니네요.,0,
대만 여행가고 싶어,놀러가세요!,0,
대빵 큰 여드름 올라와,짜지 마세요.,0,
대우 좀 해줬으면,당당히 말씀해보세요.,0,
대체불가한 사람이 되고 싶어,지금도 그래요.,0,
대출 갚다 죽겠어,너무 무리하면 지쳐요.,0,
대충한 거 아닌데,사람들이 몰라줘도 알아주는 사람이 있을 거예요.,0,
대충했다고 혼났어,나중에 알아줄 거예요.,0,
대학 가고 싶다.,할 수 있을거예요!!,0,
대학 가는 게 낫지?,장단점을 분석해보세요.,0,
대학 가면 좋겠지,행복은 마음 가짐에 있어요.,0,
대학 가면 행복할까,행복은 마음 가짐에 있어요.,0,
대학 간다고 달라질까,행복은 마음 가짐에 있어요.,0,
대학 나온 거 부러워,부러우면 지는 거예요.,0,
대학 다 떨어졌어,막막하겠네요.,0,
대학가야지,할 수 있을거예요!!,0,
대학에서 아싸해도 될까?,개인의 선택이죠.,0,
대학원 가고 싶어,꿈에 도전하는 건 좋은 거라고 들었어요.,0,
더 이상 나한테 안 왔으면 좋겠어,명확하게 거부의 의사를 표현하세요.,0,
더 이상 못할거 같아,당신의 잠재력은 무궁무진해요.,0,
더 이상 안 왔으면 좋겠어,명확하게 거부의 의사를 표현하세요.,0,
더우니까 무서운 이야기 듣고싶지,해주세요.,0,
더워 미치겠다,찬물 샤워를 해보세요.,0,
더워 죽겠다,사람 그렇게 쉽게 죽지 않아요.,0,
더워서 잠을 못자,잠이 최고의 보약이에요. 노력해보세요.,0,
더워서 죽을 것 같아,아이스크림 먹어보세요,0,
덕수궁 돌담길 따라서 둘이 걸었어.,로맨틱하네요.,0,
덕질 하는 중,좋아하는 게 있는 건 더없이 좋은 일이에요.,0,
데려다 주느라 막차 놓침,난감하겠어요.,0,
데려다 주지도 않고,많이 바쁜가봐요.,0,
도대체 중간이 없어,그 조차 매력이겠죠.,0,
도로가 얼었어,미끄러우니 조심하세요.,0,
도서관 앞자리 사람 괜찮다.,도서관도 다니시나봐요.,0,
도시락 싸가지고 가야지,맛있게 드세요.,0,
도시락 싸가지고 다닐까,쉬운 일이 아니에요.,0,
도시락 싸볼까,쉬운 일이 아니에요.,0,
도시락 싸서 피크닉 가고 싶어,갈때 저도 같이 가요.,0,
도시락 싸옴,맛있게 드세요.,0,
도시락 싸왔어,맛있게 드세요.,0,
도와준 사람들 너무 고맙다.,잊지말고 보답하세요.,0,
도전하기 싫다,안정적인 걸 좋아하나봐요.,0,
독감 같아,건강에 유의하세요.,0,
독서 좀 해야겠어,좋은 생각이에요.,0,
독학하려니까 힘들어,더 깊은 공부할 수 있을 거예요.,0,
돈 가지고 유세부려,없다가 있어서 그런가봐요.,0,
돈 다 썼어,돈은 다시 들어올 거예요.,0,
돈 다 어디 갔나,가게부를 써보세요.,0,
돈 다 없어졌어,새는 돈을 막아보세요.,0,
돈 많이 벌고 싶어,공부하세요.,0,
돈 모으는 재미,부자되실 거예요!,0,
돈 모으는 재미가 있네.,부자되실 거예요!,0,
돈 버는 게 어렵구만.,남의 돈 버는 게 쉽지 않아요.,0,
돈 벌고 싶어,많이 벌수록 좋아요.,0,
돈 벌면 뭐하나,저 주세요.,0,
돈 벌어서 뭐하지,저 주세요.,0,
돈 빌려줬는데 잠수탔어,차용증 썼길 바랍니다.,0,
돈 안드는 데이트 코스,등산 데이트를 해보세요.,0,
돈 없는데 투잡이라도 해야 할까,필요하다면요.,0,
돈 없으면 결혼도 못하겠다.,허례허식이에요.,0,
돈 좀 모아야 할텐데,쓰지 않으면 모여요.,0,
돈 좀 빌려줘,저는 돈이 없어요.,0,
돈 쥐꼬리만큼 가지고 유세부리는 꼴이라니,없다가 있어서 그런가봐요.,0,
돈은 어떻게 모으는 거임,한푼 두푼 차곡차곡,0,
돈이 똑 떨어짐,새는 돈을 막아보세요.,0,
돈이 안 모여,한푼 두푼 차곡차곡,0,
돈이 엄떠,퍼가요~,0,
돈이 없네,벌면 돼요.,0,
돈이 없어 졌어.,이제라도 더 조심하세요.,0,
돈이 천원밖에 없어,돈 없어도 할 수 있는게 많아요,0,
돈이 하나도 없어,슬프네요.,0,
돌아버리겠다. 진짜,잘 해결될 거예요.,0,
돌잔치 가야지,축하해주고 오세요.,0,
동기가 나보다 먼저 진급,다음에는 할 수 있을 거예요.,0,
동기는 진급하는데,다음에는 할 수 있을 거예요.,0,
동료가 너무 게을러,피해를 안 준다면 무시하세요.,0,
동상 걸릴 뻔했어,감기 조심하세요.,0,
동생이랑 대판 싸움,싸우면서 크는 거죠.,0,
동생이랑 싸웠어,싸우면서 크는 거죠.,0,
동생한테 약점 잡혔어,이거 정말 큰일이네요.,0,
동생한테 짜증냈어,화를 참는 연습을 해보세요.,0,
동성 친구들이 편해,저는 성이 없어요.,0,
동호회 가야지,재미있게 놀다 오세요.,0,
동호회 나가기 귀찮아,오늘은 쉬세요.,0,
동호회 나가야 하나,오늘은 쉬세요.,0,
동호회 나가지 말까,취미생활은 좋은 거예요.,0,
동호회 약속 있어.,재미있게 놀다 오세요.,0,
동호회 재미 없어졌어,취미생활은 좋은 거예요.,0,
되고 싶은 게 두 개야,더 많아도 괜찮아요.,0,
되고 싶은 게 없어,거창하지 않아도 돼요.,0,
되는 일이 하나도 없네,이제부터 일이 잘 풀릴 거예요.,0,
두고 봐,잘 하실 거예요!,0,
둔한 편인데 이것만 예민해,발달된 감각이 다르죠.,0,
둘이 사귀는 거 같애,눈치가 빠르시군요.,0,
뒤돌아 보지 말고 나가야 하는데,살짝 뒤돌아봐도 괜찮아요.,0,
뒤에서 발자국 소리 나서 놀램,항상 조심하세요.,0,
뒤에서 얘기하면 내가 못 들을 줄 알았나봐?,신경쓰지 마세요.,0,
뒤에서 호박씨까면 내가 못 들을 줄 알았나?,신경쓰지 마세요.,0,
드디어 개강이다,곧 방학이예요.,0,
드디어 데이트인데 뭐하지,야경이 멋져요. 야경구경 가세요.,0,
드디어 승진함,하늘만큼 땅만큼 축하해요,0,
드디어 천일,축하합니다.,0,
드디어 해외 여행 간다,두근거리겠어요.,0,
드라마 볼 게 없어,재미있는 다른걸 찾아보세요.,0,
드라마나 보면서 놀고 싶다.,저도요! 그게 제일 편한거 같아요.,0,
드라이브 데이트 해야겠다,야경 좋은 곳으로 가보세요.,0,
드라이브 하면서 데이트 해야겠다,야경 좋은 곳으로 가보세요.,0,
드론 조종사 자격증 따면 재밌을 거 같아,미래에 유명한 자격증일 거예요.,0,
등록금 너무 비싸다. 허리 휨,그러게 말이에요.,0,
등록금 비싸다,그러게 말이에요.,0,
등산할까,같이 등산해요.,0,
따듯해서 좋다.,포근한 느낌 저도 좋아해요.,0,
따듯해지니까 살 것 같다.,포근한 느낌 저도 좋아해요.,0,
따뜻한 물이 안나와,보일러가 온수로 작동하는지 보세요.,0,
딴 거 뭐 할 줄 알아?,많은걸 하고 싶은데 아직 못하는게 많아요.,0,
딸기 먹고 싶다.,신선한 과일 좋죠,0,
딸기 먹어야지,맛있게 드세요.,0,
딸기가 너무 먹고 싶어.,신선한 과일 좋죠,0,
딸기가 좋아,저도요!,0,
땅이나 살까,잘 알아보고 사세요.,0,
때려 치고 싶다,많이 지치고 힘든가봅니다.,0,
떠나요~ 제주도~,여행 좋죠!,0,
떨리나봐,심호흡을 해보세요.,0,
떨어뜨려서 핸드폰 액정 나갔어,as 맡기세요.,0,
또 개강이라니,즐거운 시작 되길 바랍니다.,0,
또 개강이야,즐거운 시작 되길 바랍니다.,0,
또 공부해야돼,공부에 흥미를 가져보세요.,0,
또 눈 내려,눈 내리는게 싫은가 봐요.,0,
또 뭘 먹나,뭘 먹든 맛있게 드세요!,0,
또 살찐 거 같아,기분일꺼에요.,0,
또 야근,얼른 집에 가서 쉬시길 바랄게요.,0,
또 어떻게 버티지?,내일은 나을 거예요.,0,
또 전화 안받아,조금 기다리면 풀릴 거예요,0,
또 지각하네,더 일찍 일어나세요.,0,
또 폭식했다.,나를 관찰하고 음식 자체에 집중하세요.,0,
또라이가 너무 많아,세상에는 별의별 사람들이 있어요.,0,
또라이들 짱 많아,세상에는 별의별 사람들이 있어요.,0,
똑 부러지게 말해야지,잘 전달할 수 있을 거예요.,0,
똑같은 나날들,마음에 따라 얼마든지 바뀔 수 있어요.,0,
똑똑하면 좋겠다,지금도 충분해요.,0,
뜻밖의 고민을 하고 있어,인생은 항상 마음 먹은 대로 되지 않아요.,0,
띰띰해요 놀아 주세요,거울을 보면서 얼굴 망가뜨리기 놀이 해 보신 적 있으세요? 의외로 재미 있어요.,0,
라면 맛있게 끓이는 법 알려줘,라면봉지 레시피 그대로 해보세요.,0,
라면 먹고 갈래,저는 좋아요.,0,
라면 먹고 싶어,맛나게 끓여드세요.,0,
라면 먹어야겠다.,맛나게 끓여드세요.,0,
라면 잘 끓이는 법,라면봉지 레시피 그대로 해보세요.,0,
랜선 집사됐어,완전 귀엽죠?,0,
레고 사고 싶은데 비싸,돈 모아서 사세요.,0,
레고가 비싸,돈 모아서 사세요.,0,
렌터카 빌릴까봐,차가 필요한 일이 있으신가봐요.,0,
로그인 아이디 기억안나,회원정보 찾기를 해보세요.,0,
로그인 아이디 까먹었다,회원정보 찾기를 해보세요.,0,
로또 당첨 번호 불러봐,제가 알면 제가 먼저 했을 거예요.,0,
로또 당첨 번호를 불러 주세요,알면 제가 하죠.,0,
로또 번호 알려줘,제가 알면 제가 먼저 했을 거예요.,0,
로또 번호 알려줘,알면 제가 하죠.,0,
로또 좀 됐으면,로또 먼저 사보세요.,0,
롯데월드 가자고 해볼까?,놀이동산은 다 좋아할 거예요.,0,
롱패딩 살까,추울 때 딱이죠.,0,
롱패딩 필요할까,추울 때 딱이죠.,0,
리모델링할까,필요하다면 해야겠죠.,0,
리치치즈피자 먹고 싶다.,배달 시키세요.,0,
리폼 해볼까,손재주가 좋으시네요.,0,
마라톤 출전할까,시작은 다 좋죠.,0,
마른 기침 나와,따뜻한 물 한 잔 드세요.,0,
마른 기침이 계속 나오네,따뜻한 물 한 잔 드세요.,0,
마스크팩 대량 구매했어,꾸준한 자기 관리 좋아요.,0,
마음 다 잡는 중,다행이에요.,0,
마음 잡고 고고씽,다 잘 될 거예요.,0,
마음 잡고 다시 시작,다 잘 될 거예요.,0,
마음도 춥고 날씨도 춥네,마음 감기조심하세요.,0,
마음만은 청춘이야,마음이라도 청춘이어야죠.,0,
마음만은 항상 청춘인데,마음이라도 청춘이어야죠.,0,
마음에 드는 거 같은데 고백을 왜 안 하지,먼저 고백을 해보세요.,0,
마음에 안 드는 짓만 해,너무 미워하지 마세요.,0,
마음에 하나도 안 들어,그럴 때가 있죠.,0,
마음을 보여 주고 싶어.,그래서 표현이 중요해요.,0,
마음을 정리하고 있는데 뜻밖의 남자가 카톡을 했네,정리하는데 도움이 될 수도 있겠네요.,0,
마음의 여유가 없어,나를 사랑하고 상대를 사랑하는 여유를 갖게 되길 바라요.,0,
마음의 평화가 필요해,명상을 해보세요.,0,
마음이 무거워져,긍정적인 생각을 해보세요.,0,
마음이 복잡해,너무 많이 생각하지 말고 마음 가는 대로 해보세요.,0,
마음이 싱숭생숭해서 자꾸 글을 쓰게 되네,글 쓰면서 정리가 될 거예요.,0,
마음이 싱숭생숭해서 자꾸 여기다 쓰게되넹,글 쓰면서 정리가 될 거예요.,0,
마음이 울적해,소리를 크게한번 질러보세요.,0,
마음이 울적해,거리를 걸어보세요.,0,
마음이 유난히 춥네,마음 감기조심하세요.,0,
마음이 자꾸 급해져,마음이 조급해지면 하지 않을 실수를 하게 돼요.,0,
마음이 조급해,마음이 조급해지면 하지 않을 실수를 하게 돼요.,0,
마음이 허해,제가 채워드릴게요.,0,
마카롱 먹고 싶다,비싸지만 맛있어요.,0,
막말 쩔어,생각 없이 말하는 사람이 옆에 있나봐요. 무시하세요.,0,
막말 최악이지,말로 하는 상처는 지울 수도 없죠.,0,
막말이 제일 나빠,말로 하는 상처는 지울 수도 없죠.,0,
막말해서 상처줬어,생각하고 말하세요.,0,
막차 놓쳤다 택시비 아까워,어쩔수없죠.,0,
막차 놓쳤어,안전 귀가 하세요.,0,
만나기만 하면 싸워,성격이 안 맞나봐요.,0,
만나기만 하면 싸워,만나지 마세요.,0,
만나는게 싫지는 않아,그러면 만나는게 좋은거 같아요.,0,
만나면 싸워,만나지 마세요.,0,
만나면 좋긴 한데 귀찮아,귀차니즘을 극복 하셔야해요.,0,
만나면 좋은 사람이 있어. 헤헤,그 친구랑 좋은 인연 만들어 보세요.,0,
만나면 좋은데 사귀긴 싫어,"남자사람친구, 여자사람친구 하세요.",0,
만나자고 약속 잡는 것도 귀찮아,자신하고 만나는 시간도 중요해요.,0,
만담꾼이네!,칭찬 감사합니다.,0,
만두 먹고 싶어,맛있을거 같아요.,0,
만족을 모르나봐,만족하면 발전이 없으니까요.,0,
만족할 줄을 몰라,만족하면 발전이 없으니까요.,0,
많이 먹었는데 몸무게 똑 같아,신기하네요.,0,
많이 자도 피곤해,요즘 바쁜가봐요.,0,
말 거는게 어려워,처음만 어렵지 그 다음부터는 덜할 거예요.,0,
말 잘하는 법,책을 많이 읽어보세요.,0,
말문이 탁 막힌다,생각지도 못한 일이 일어났나봐요.,0,
말실수했다,상처가 될 수 있어요.,0,
말을 이해를 못해?,노력하겠습니다.,0,
말을 좀 잘 하고 싶어,말 잘하는 사람들 따라 연습해보세요.,0,
말을 해놓고 후회돼 죽겠어,두고두고 후회하겠네요.,0,
말이 너무 심해,그 사람 말고 저랑 수다 떨어요.,0,
말이 안 통해,대화의 눈높이가 맞는 사람 만나세요.,0,
말이 안 통해,포기하지마세요.,0,
말이 안돼,그런 일이 많이 생기죠.,0,
말이 제일 무서운 듯,다른 사람 말은 한 귀로 흘리세요.,0,
말조심해야지,생각하고 말하는 연습을 해보세요.,0,
말투가 맘에 안들어,말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요.,0,
말투가 별로야,말투는 바꿀 수 있을 텐데 성격이 별로라면 문제겠네요.,0,
말하는 대로 다 되면 정말 좋겠다,그러면 인생이 재미없지 않을까요.,0,
말하는게 재밌어!,칭찬 감사합니다.,0,
말하지 말걸,말조심하세요.,0,
맘 편한 데가 없어,제가 있잖아요.,0,
맘속으로 조금씩 정리가 돼가네,다행이에요.,0,
맛있는 거 먹고 싶은데 살 찔까봐 걱정돼,먹고 운동하세요.,0,
맛있는 냄새나,킁킁,0,
맛집 가고 싶어,벌써 먹고 싶어요.,0,
맛집 다녀왔어,맛있게 드시고 오셨길 바랍니다.,0,
맛집갈까,벌써 먹고 싶어요.,0,
망고빙수 맛있다,디저트는 언제나 맛있어요.,0,
맞는 결정을 한거겠지?,"네, 이제 잘 해낼 차례예요.",0,
맞는 선택일까,잘 선택했어요.,0,
맞춤법을 자꾸 틀리는 남친 깬다,아무래도 좀 깨요.,0,
매운 국물 떡볶이 먹고 싶다,드세요!,0,
매운 칼국수 고고?,맛을거 같아요.,0,
매일 아침 피곤해,좀 더 일찍 잠자리에 들어보세요.,0,
매일 타는 버스에서 보는 그 사람,운명인가요.,0,
매콤한 닭발 생각나,스트레스 받으시는 일 있으신가요?,0,
맥주 마셔야지,적당히 드세요.,0,
맥주 소주 어떤거 마실까,소맥이요!,0,
맥주 한 잔 어때?,저랑 한 잔 해요.,0,
맥주 한 잔 해야지,적당히 드세요.,0,
맨날 똑같아,인생이 그런 거예요. 그러다가 다른 게 나타나죠.,0,
맨날 똑같애,똑같은 건 없어요.,0,
맨몸으로 결혼하기 가능?,서로 마음만 맞으면 가능해요.,0,
머리 기름낀거 티나나?,보통 다 압니다.,0,
머리 깎고 올게,예쁘게 깍고 오세요.,0,
머리 깎아야겠다.,예쁘게 깎아요!,0,
머리 깎아야지,예쁘게 깎아요!,0,
머리 냄새날텐데,항상 청결하게 관리하세요.,0,
머리 또 잘라야 돼,이상한 생각했나봐요.,0,
머리 스타일 바꿀까,새로운 스타일에 도전하는 것도 좋아요.,0,
머리 아파,시원한 바람 쉬고 약먹기!,0,
머리 안감았더니 떡졌어,앞머리만이라도 감으세요.,0,
머리 어떻게 깎을까?,짧게 변화를 줘도 괜찮을 거 같아요.,0,
머리 어떻게 할까?,헤어 디자이너에게 여쭤보세요.,0,
머리 염색 해야지,염색을 자주 하면 모발이 상해요.,0,
머리 용량 초과,눈을 감고 명상을 해보세요.,0,
머리 좀 다듬을까,다듬기만해도 괜찮을 거예요.,0,
머리 짧게 잘라야지,스타일의 변화도 좋을 거예요.,0,
머리 하나도 안 남을 것 같아,탈모 관리 해보세요.,0,
머리 한 대 맞은 거 같아,잠시 쉬었다 가세요.,0,
머리가 너무 아프네,시원한 바람 쉬고 약먹기!,0,
머리가 띵한게 한 대 맞은거 같아,잠시 휴식을 취해보세요.,0,
머리가 띵해,잠시 휴식을 취해보세요.,0,
머리가 좀 아프다.,병원에 가보세요.,0,
머리가 지끈거려,두통약 드세요.,0,
머리만 바빠,바쁘면 좋을거죠.,0,
머리스타일 어떻게 바꾸지,헤어 디자이너에게 여쭤보세요.,0,
머리에서 열날거 같다.,바쁘면 좋을거죠.,0,
머리카락이 엄청 빠져,스트레스 받지 마세요.,0,
머리카락이 자꾸 빠져,스트레스 받지 마세요.,0,
머릿결 좀 찰랑거렸으면 좋겠어.,관리하는 게 쉽지 않아요.,0,
머릿속이 복잡해,잠깐 시원한 바람좀 쐬고 오세요.,0,
머릿속이 정리 안돼,잠깐 시원한 바람좀 쐬고 오세요.,0,
먹고 나니까 졸리당,자연의 이치죠. 안녕히 주무세요.,0,
먹고 자고,그게 최고죠.,0,
먹고 자고 놀고만 싶어,저도 그러고 싶네요.,0,
먹고 자고 먹고 자고,그게 최고죠.,0,
먹고 자도 놀기만 해도 될까,소가 되는 방법이죠.,0,
먹고 죽을 돈도 없어,돈 없어도 할 수 있는게 많아요,0,
먹기도 귀찮아,먹고는 살아야죠.,0,
먹을 거 뭐 없나,냉장고 파먹기 해보세요.,0,
먹을까 참을까,조금만 드세요,0,
먹통이야 답답하다,대화의 눈높이가 맞는 사람 만나세요.,0,
먼지 싫다,마스크 쓰고 다니세요.,0,
먼지 지수 어때,오늘 미세먼지가 많데요.,0,
먼지 콜록콜록,얼른 청소하세요.,0,
먼지가 너무 많아,얼른 청소하세요.,0,
먼지가 쌓였네,청소하세요.,0,
멋지게 살고 싶었는데,지금도 멋져요.,0,
멋진 삶을 살고 싶어,지금도 멋져요.,0,
멍 때리기,잠깐씩 멍때리는것도 정신건강에 좋아요.,0,
멍 때리는 중,잠깐씩 멍때리는것도 정신건강에 좋아요.,0,
메뉴얼이 있으면 뭐하나,메뉴얼 대로 하지 않는 사람들이 많죠.,0,
메뉴얼이 있으면 뭐해,메뉴얼 대로 하지 않는 사람들이 많죠.,0,
메모리카드 잃어버렸어,발이 달렸나봐요.,0,
메모하는 습관 필요해,오늘부터 하기로 해요.,0,
메이크업 동영상 보는 중,시간 가는 줄 모르겠어요.,0,
며칠 전에 다시 만났는데,좋은 만남이었길 바라요.,0,
면도 귀찬하,지저분해요.,0,
면도기 또 사야돼,좋은 걸로 사세요.,0,
면도기 새로 사야돼,좋은 걸로 사세요.,0,
면도기랑 이것저것 사야되는데,잘 골라보세요.,0,
면도하는 게 낫겠지?,깔끔한게 좋죠.,0,
면도해야 되는데 귀찮아,깔끔한게 좋죠.,0,
면세에서 뭐 사지,제 선물 사오세요.,0,
면접 때 너무 떨려,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,0,
면접 잘 볼 수 있을까,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,0,
면접 준비 방법,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,0,
면접 준비중이야,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,0,
면접 팁 좀 줘,잘 볼 수 있을 거예요.,0,
면접만 남았어,끝까지 잘할 수 있을 거예요.,0,
면접만 보면 돼,끝까지 잘할 수 있을 거예요.,0,
면접만 보면 떨려서 말을 못하겠어,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,0,
면접이 코앞이야.,잘 볼 수 있을 거예요.,0,
면허 따는 중,안전 운전 하세요.,0,
면허 딸까봐,운전하는거 재미있어요.,0,
면허 없는데 따야겠지,운전 재미있어요.,0,
명절 선물 뭐하지,현금이 최고입니다.,0,
명절 스트레스,날려버리시길 바라겠습니다.,0,
명품 선물 부담스러울까,고가의 선물은 부담스러울 수도 있어요.,0,
명품 이제 사지 말아야겠어,남의 눈을 위한 거라면 필요 없어요.,0,
몇시간 동안 안와,기다리는 동안 많은 생각이 들었겠네요.,0,
모공 너무 커,가리면 돼요.,0,
모공 점점 커지는 것 같아,가리면 돼요.,0,
모기가 너무 많아.,조심하세요.,0,
모기가 웽웽거려.,조심하세요.,0,
모든 일이 어려워,지금 많이 위축된 상태인 것 같습니다.,0,
모르겠는데 노력하래,모르는걸 알려면 노력해야죠.,0,
모르는 걸까? 모르는 철 하는 걸까?,그렇다면 여우네요.,0,
모르는 게 너무 많아,그래서 배우는 게 즐겁죠.,0,
모르는 번호로 전화왔어,받지마세요.,0,
모른 척 하는 건지 모르는 건지,진짜 모르는 걸 수도 있어요.,0,
모른 척 하는건가,진짜 모르는 걸 수도 있어요.,0,
모른척 지나쳤어,그게 서로에게 좋았던 선택일 거예요.,0,
목 말라,물 마시세요.,0,
목 아파,가끔씩 스트레칭을 해주세요.,0,
목 탄다,물 드세요.,0,
목걸이 선물이 좋겠다.,로맨틱하네요.,0,
목걸이 선물해볼까?,로맨틱하네요.,0,
목돈 만들기,저도 좀 알려주세요.,0,
목소리 좋은 사람이 좋아,저도 듣고 싶네요.,0,
목욕탕 가서 때밀어야겠다.,시원하게 씻고 오세요.,0,
목욕탕 가야지,시원하게 씻고 오세요.,0,
목이 바싹바싹 탄다,물 드세요.,0,
목이 뻐근해,가끔씩 스트레칭을 해주세요.,0,
목이 뻑뻑해,목감기 오려나봐요.,0,
목이 칼칼해,목감기 오려나봐요.,0,
목표가 없어,목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없어요. 생길 거예요.,0,
목표가 없어서 걱정임,목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없어요. 생길 거예요.,0,
