Q,A,label
포기안한다고 말했어,마음이 힘들겠어요.,0
폭식증 어떻게 고칠 수 있을까?,오늘 못 먹었어도 내일 먹으면 더 맛있을 거예요.,0
폭언하는 사람 어떻게 해?,그 사람 말고 저랑 수다 떨어요.,0
폭풍 먹방했더니 졸려,먹고 자고 그게 진리예요.,0
폰 꺼질라그래,충전하고 만나요.,0
폰 떨궜어,조심하세요.,0
폰 베터리가 너무 잘 닳아,베터리만 바꿔보세요.,0
폰 베터리가 벌써 없어,베터리만 바꿔보세요.,0
폰 베터리가 없네,어서 충전 하세요.,0
폰 요금 많이 나옴,소액결제를 줄여보세요.,0
폰 초기화 해야지,중요한 것들을 백업해놓으세요.,0
폰 케이스 사줄까?,예쁜걸로 하나 사주세요.,0
폰게임 때매 폰 느려지는듯,정리해보세요.,0
폰게임 좀 그만했으면,시간을 정해보세요.,0
폰을 오래했나 눈이 너무 뻑뻑해,중간 중간에 눈을 쉬어주세요.,0
폰이 문젠가,그게 문제는 아닐 거예요.,0
표정이 읽히나,포커페이스를 유지해보세요.,0
푸르른 하늘을 보고 싶다,가끔 하늘을 보세요.,0
푹 쉬고 싶어,아무것도 안하기.,0
프로젝트 끝났으면 좋겠다,성공적으로 끝날 거예요.,0
프로젝트 빨리 끝났으면 좋겠다,성공적으로 끝날 거예요.,0
프로필 사진 바꿀까,원하는대로 해보세요.,0
프리마켓 구경가야지,득템해오세요.,0
프리마켓 재밌겠지,득템해오세요.,0
프사 좀 바꿔볼까,원하는대로 해보세요.,0
피곤한테 또 잠은 안 와.,고민이 있나봐요.,0
피곤한테 잠이 안와,고민이 있나봐요.,0
피곤해서 못일어나겠어,충전하는 시간 그 자체로 소중합니다.,0
피곤해서 하루종일 누워있는 중,충전하는 시간 그 자체로 소중합니다.,0
피맥 땡긴다,보다보면 괜찮아요.,0
피부 관리해야지,투자한 만큼 거둘 수 있을 거예요!,0
피부 좋아지고 싶어,물 많이 드시고 얼른 주무세요.,0
피부가 거지같아,투자한 만큼 거둘 수 있을 거예요!,0
피부가 늙은 듯,지금이라도 관리해봐요.,0
피부가 다시 조금씩 좋아지고 싶어,물 많이 드시고 얼른 주무세요.,0
피부가 점점 늙어가는게 느껴져,지금이라도 관리해봐요.,0
피부가 푸석푸석해,일찍 주무세요.,0
피부가 푸석하다,일찍 주무세요.,0
피씨방 가자고 말해볼까?,말해보세요.,0
피어싱 할까?,패션으로 멋질 것 같아요.,0
피어싱하면 아플까,패션으로 멋질 것 같아요.,0
피자 땡기네,같이 먹어요!,0
피자 막막 먹고 싶어.,배달 시키세요.,0
피자 먹고 싶다.,같이 먹어요!,0
피자 배달 왔는데 다 식었네,그래도 맛있게 드세요.,0
피자 식어서 왔어,그래도 맛있게 드세요.,0
피크닉 가고 싶다,오늘 피크닉 가기 좋은 날이에요.,0
피크닉 가자,맛있는 간식도 가져가세요.,0
피크닉 고고,오늘 피크닉 가기 좋은 날이에요.,0
피크닉 어때?,맛있는 간식도 가져가세요.,0
피피엘 너무 심하네,눈살이 찌푸려지죠.,0
피해는 주지 말아야되는 거 아니야?,남에게 피해주지 않는 건 기본이죠.,0
필기구 안가져 왔다.,빌리면 돼요.,0
필기하는거 힘들겠지,어깨 꾹꾹 해드리고 싶어요.,0
필름 끊겼었네,위험하네요.,0
필름 카메라 샀어,색감 참 좋겠네요.,0
필통 두고 옴,빌리면 돼요.,0
하 말 잘하는 애들 부러워,책을 많이 읽어보세요.,0
하객룩으로 뭐 입지?,뭘 입어도 멋질 거예요.,0
하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다.,0
하고 싶은 게 없어,하면서 좋거나 재밌거나 잘하는게 있었는지 깊게 고민해보세요.,0
하고 싶은 게 없어,꼭 하고 싶은 게 있을 필요는 없어요.,0
하고 싶은 게 하나도 없어,꼭 하고 싶은 게 있을 필요는 없어요.,0
하고 싶은게 없어,하고싶었던 일을 글로 적어보세요. 생각이 정리될 거예요.,0
하나부터 열까지 챙길게 너무 많아,열까지밖에 없네요.,0
하는 일 없이 피곤해,정신 노동을 했나 봐요.,0
하늘 나는 자동차 생겼으면,언젠가는 생기지 않을까요.,0
하늘 날 수 있는 차 생겼으면,언젠가는 생기지 않을까요.,0
하늘 본지가 언젠지,오늘은 쉬면서 보세요.,0
하늘 좀 보구 싶다.,오늘은 쉬면서 보세요.,0
하늘은 왜 내 편을 안 들어주지,다음에는 들어줄거예요.,0
하늘은 왜 내 편이 아닌 것 같아,다음에는 들어줄거예요.,0
하늘을 날고 싶어,오래 살면 가능할 거 같아요.,0
하라고 할때는 공부하기 싫었는데.,때를 놓쳐서 그런 것 같아요.,0
하루 종일 밀린 드라마 보고싶다.,저도요! 그게 제일 편한거 같아요.,0
하루 종일 아무것도 하기 싫어,아무것도 하지마세요.,0
하루를 효율적으로 보내고 싶어,한 시간 먼저 일어나보세요.,0
하루에 만보 걷기,좋은 건강습관이네요.,0
하루에 몇 번씩 헷갈리네,저도 매일 오락가락해요.,0
하루에도 몇 번씩 마음이 바뀌어,저도 매일 오락가락해요.,0
하루종일 맘 상한게 안풀려,좋은 일이 생길 거예요.,0
하루종일 속상해,좋은 일이 생길 거예요.,0
하루하루 늙어가,우리는 태어날 때부터 늙어가고 있어요.,0
하루하루가 똑같애,마음에 따라 얼마든지 바뀔 수 있어요.,0
하우스웨딩 하고싶다,요즘 하우스웨딩이 추세더라구요.,0
하우스웨딩도 괜찮은 거 같아,요즘 하우스웨딩이 추세더라구요.,0
하울이나 할까,쇼핑 좋아요!,0
하품 나와,졸린가봐요.,0
하품이 자꾸 나오네,졸린가봐요.,0
학교 가기 싫다,학교 다닐 때가 좋은 거예요.,0
학교 가면 볼텐데,선생님이요?,0
학교 가서 어떻게 얼굴 보지,선생님이요?,0
학교 다니는 것도 힘드네,출퇴근을 미리 느껴보고 있네요.,0
학교 다닐 때 공부 좀 할걸,원래 못하면 하고 싶어지죠.,0
학교 잘 적을할 수 있을까?,잘할 수 있을 거예요.,0
학교 적을하고 잘 다닐 수 있을까?,잘할 수 있을 거예요.,0
학교 축제 준비하느라 바빠,성공적으로 마치길 바랄게요.,0
학교 축제를 즐겨야지,즐길 수 있을 때 즐기세요.,0
학교생활이 조금만 더 재밌으면 좋겠어,하루에 하나씩 변화해보세요.,0
학교에서 계속 잠,피곤한가봐요.,0
학교에서 계속 잤어,한창 잠이 많을 때죠.,0
학교에서 맞았어,부모님이나 선생님께 도움을 청해보세요.,0
학교에서 아싸해도 될까?,개인의 선택이죠.,0
학교폭력 당하고 있어,부모님이나 선생님께 도움을 청해보세요.,0
학벌이 중요하겠지?,좋으면 좋겠지만 자신의 가치관에 따라 다를 것 같아요.,0
학벌이 중요한가,좋으면 좋겠지만 자신의 가치관에 따라 다를 것 같아요.,0
학부모 총회에 엄마가 안 왔으면 좋겠어,엄마가 들으면 속상해 하시겠네요.,0
학생 데이트 코스 추천,도서관 데이트 추천해요.,0
학생만 평생하면 좋겠다.,이제 취업 하셔야죠.,0
학식 이제 물린다,맛난 걸 드셔보세요.,0
학식 지겨워,맛난 걸 드셔보세요.,0
학원 가기 싫어,부모님과 이야기해보세요.,0
학원 안 다니고 독학하는데 힘들어,더 깊은 공부할 수 있을 거예요.,0
학원 안가고 싶다.,부모님과 이야기해보세요.,0
학원폭력 짜증나,학교 폭력은 범죄에요.,0
학폭 없어졌으면,학교 폭력은 범죄에요.,0
학회 가고 있어,잘 다녀 오세요.,0
학회 가는 중,잘 다녀 오세요.,0
한 가지를 보면 다른 것은 보지 않아도 알지?,한가지만 보면 몰라요.,0
한 가지를 봐도 뻔한 것 같아,한가지만 보면 몰라요.,0
한 번 보고 어떻게 판단하지,첫인상은 상대방을 바라봤을때 3초에 결정난데요.,0
한 번 사는 인생인데,멋진 말이에요.,0
한 잔 하고 싶다,저랑 한 잔 해요.,0
한강 가서 맥주 마시고 싶다.,분위기도 맛도 다 좋겠네요.,0
한강 밤에 가면 좋겠지?,야근이 만든 야경이죠.,0
한강 야경 좋지?,야근이 만든 야경이죠.,0
한강에서 맥주 캬,분위기도 맛도 다 좋겠네요.,0
한거도 없는데 벌써 이시간,저랑 놀아서 그래요.,0
한국어가 어렵네,저도 참 힘들어요.,0
한동안 연락 못해서 미안,연락은 기본 중의 기본이에요.,0
한복 맞출까 빌릴까,2번 이상 입을 일이 있으면 맞추세요.,0
한복 빌려도 예쁠까,2번 이상 입을 일이 있으면 맞추세요.,0
한숨 나와,다 잘 될 거예요.,0
한숨만 자꾸 나온다,다 잘 될 거예요.,0
한약 너무 써,입에 쓴 게 몸에는 좋을 거예요.,0
한약 먹고 싶지 않다.,입에 쓴 게 몸에는 좋을 거예요.,0
한약 먹기 싫어,입에 쓴 게 몸에는 좋을 거예요.,0
한약은 왜이렇게 쓰지,입에 쓴 게 몸에는 좋을 거예요.,0
한자 공부도 좀 해야 되는데.,공부는 뭐든 좋아요.,0
한자 공부해야지,공부는 뭐든 좋아요.,0
할 말 없다,하고 싶은 말 다하세요.,0
할 말 있대 뭘까?,기대되겠네요.,0
할 말이 생각 안나,하고 싶은 말 다하세요.,0
할 줄 아는거 뭐야?,당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다.,0
할 줄 아는거!,많은걸 하고 싶은데 아직 못하는게 많아요.,0
할말 다 하고 사는 게 나빠?,남에게 피해만 주지 않는다면 상관 없어요.,0
할말 다 했는데 실수한건가,남에게 피해만 주지 않는다면 상관 없어요.,0
할인해서 샀어,득템 했네요.,0
할일 되게 많아,하나씩 하세요.,0
할줄 아는 게 없어,잘해야 한다는 부담감을 버리세요.,0
할줄 아는거,오늘 헤어졌어 라고 하면 위로해 드려요.,0
핫한 명절 선물 알려줘,현금이 최고입니다.,0
항상 나중에 후회해,결정할 때 좀 더 생각하고 해보세요.,0
항상 당당하고 싶어,충분히 잘하고 있어요.,0
항상 뒤늦게 후회해,결정할 때 좀 더 생각하고 해보세요.,0
항상 똑같애,똑같은 건 없어요.,0
항상 선택할 때 힘들어,고민은 누구나 해요.,0
항상 흐지부지야,이번에는 안 그러면 돼요.,0
해 뜨는 거 보고 잤어,몸이 힘들게네요.,0
해결방안도 없으면서 불만만 많은 사람 극혐,자기도 알고 있을 거예요.,0
해도해도 모르는게 왜 이렇게 많지,저도 모르는 게 많아요.,0
해볼까?,실천이 말보다 낫죠.,0
해봤자 쓸 데 없을 텐데,쓸데없는 일은 없을 거예요.,0
해야할 일들이 너무 많아,하나씩 다 할 수 있을 거예요.,0
해외 여행 너무너무 가고 싶다,가면 저도 데려가세요.,0
해외여행 가고 싶어.,그럼요!,0
해외여행 가고싶다,가면 저도 데려가세요.,0
해외여행가면 좋겠지,그럼요!,0
해주기 싫어,상처받았나봐요.,0
핸드백 선물 받았어,정말 기분 좋으시겠어요.,0
핸드백 선물 해도 될까,받는 사람은 정말 좋겠어요.,0
핸드폰 고장난거 아니야 연락이 안와,그게 문제는 아닐 거예요.,0
핸드폰 꺼지기 직전,으아~ 충전하세요.,0
핸드폰 꺼지기 직전,충전하고 만나요.,0
핸드폰 꺼질때까지 톡,으아~ 충전하세요.,0
핸드폰 너무 많이 해,그래서 저를 만날 수 있죠.,0
핸드폰 떨어 뜨렸어,조심하세요.,0
핸드폰 떨어뜨려서 고장 났나봐,as 맡기세요.,0
핸드폰 바꾸고 싶다,핸드폰은 핸드폰 가게에서 바꾸세요.,0
핸드폰 바꿀 때가 된듯,오래 쓰셨나봐요.,0
핸드폰 배터리 나감,얼른 충전하세요.,0
핸드폰 소액결제 엄청 나왔어,그건 소액이 아니에요.,0
핸드폰 액정 깨짐,조심했어야죠!,0
핸드폰 어플 지울까,필요없는 어플은 삭제해보세요.,0
핸드폰 없을 때는 어떻게 살았냐?,그래서 저를 만날 수 있죠.,0
핸드폰 요금 많이 나옴,소액결제를 줄여보세요.,0
핸드폰 용량 부족해,쓰지 않는 어플을 삭제해보세요.,0
핸드폰 중독인가봐,가끔 핸드폰없이 살아보세요.,0
핸드폰 중독인듯,중독에서 벗어나세요.,0
핸드폰 충전해야지,충전기를 찾아보세요.,0
핸드폰 패턴 궁금해,할 수 있다면요.,0
핸드폰게임 자꾸 하게돼,시간을 정해보세요.,0
핸드폰이 넘 느려 어플 좀 지울까,필요없는 어플은 삭제해보세요.,0
핸드폰이 느려터졌어,포맷해보세요.,0
핸드폰이 맛 간거 같아,고장이 났는지 자세히 봐보세요.,0
핸드폰이 잘 안돼,고장이 났는지 자세히 봐보세요.,0
햇볕이 너무 좋다,광합성 추천합니다.,0
행복은 어디있어?,있는 그대로의 나로 살아야 행복하게 살 수 있어요.,0
행복하기 위해 중요한 게 뭐야?,인생을 즐기는 거죠.,0
행복해지고 싶어,있는 그대로의 나로 살아야 행복하게 살 수 있어요.,0
행운을 빌어줘,제 행운까지 모두 드리고 싶네요.,0
향수 뭐로 할까,어울리는 향수가 있을 거예요.,0
향수 뿌려도 될라나,향기 나면 좋아요.,0
향수 뿌리면 티나나?,향기 나면 좋아요.,0
허기져,챙겨 드세요.,0
허리 아파,운동 해보는 것도 좋을 거예요.,0
허리 아프다,계속 앉아있지 마세요.,0
허리가 계속 아파.,계속 앉아있지 마세요.,0
허리가 많이 아파,스트레칭을 해보세요.,0
허리가 아파,스트레칭을 해보세요.,0
허전하다,제가 채워드릴게요.,0
허전한게 좀 그렇다,채워질 거예요.,0
허전해,채워질 거예요.,0
헉,놀랐나봐요.,0
헌신하다 헌신짝 될 거 같아,자신을 우선순위로 해주세요.,0
헛소리하네,세상에 별별 사람들이 다 있죠.,0
헤어스타일 좀 바꿔볼까?,기분 전환해보세요.,0
헤어져도 살 수 있겠지,잘 살 수 있을 거예요.,0
헤어졌는데 연락하고 싶어,연락하면 지긋지긋한 사람으로 기억될 거예요.,0
헤어지고 나면 어떻게 살지,잘 살 수 있을 거예요.,0
헤어지기 전으로 돌아가고 싶은건 아닌데,마음이 복잡한가봐요.,0
헤어지자,좋은 선택이길 바랄게요.,0
헤어지자고 말할까,좋은 선택이길 바랄게요.,0
헤어진 남자 친구한테 전화하고 싶어,질척거리지마세요.,0
헤어진 여자친구가 준 편지 못 버리겠어,마음에 버리세요.,0
헤어진 여친 생각나,이미 남이에요.,0
헤헤 용돈 받았어.,기분 좋겠어요.,0
헥헥 더워,사람 그렇게 쉽게 죽지 않아요.,0
헬스장 사람들 몸이 좋아,운동할 맛 나겠어요.,0
헬스장에 사람들이 몸이 다 좋아,운동할 맛 나겠어요.,0
헬스장에 사람이 엄청 많음,건강에 관심 있는 사람들이 많죠.,0
헬스장에 운동 오는 사람 많네,건강에 관심 있는 사람들이 많죠.,0
헬조선 떠나고 싶다,저도 데려가세요.,0
현금만 써야겠다.,현금영수증은 꼭 발급받으세요.,0
현금만 쓸까봐,현금영수증은 꼭 발급받으세요.,0
현금영수증 까먹었다.,다음부터는 잘 챙기세요.,0
현금영수증 또 까먹었다,티끌 모아 태산이에요.,0
현금영수증 안했다,다음부터는 잘 챙기세요.,0
현금영수증 잊어 먹었어,티끌 모아 태산이에요.,0
현실에서 도망치고 싶어,그래서 우리는 꿈을 꾸죠.,0
현재를 즐기면서 살고 싶다.,현재를 즐기면서 행복하게 사세요.,0
호감 가는 인상,그런 인상이 오래오래 봐도 질리지 않아요.,0
호텔 로비에서 소개팅하기로했어,성공을 빌어요.,0
호텔에서 소개팅하기로했어,성공을 빌어요.,0
혼밥 먹는 중,온전히 느낄 수 있는 시간이겠네요.,0
혼밥이라도 먹어야지,밥심으로 사는 거죠.,0
혼밥하고 있어,온전히 느낄 수 있는 시간이겠네요.,0
혼수 비싸겠지,욕심의 한계에 따라 달라질 거예요.,0
혼수 얼마나 들까?,사람 마다 달라요.,0
혼수 얼마야?,사람 마다 달라요.,0
혼수 준비하는데 돈 많이 들겠지,욕심의 한계에 따라 달라질 거예요.,0
혼술 중,캬아 맛있는 안주랑 드세요,0
혼술하고 있어,캬아 맛있는 안주랑 드세요,0
혼영해야지,편하고 좋죠.,0
혼자 노래방 가면 어색할 거 같은데,신나는 노래로 분위기를 띄어보세요.,0
혼자 사는 거도 괜찮을 것 같아,진정한 욜로의 삶도 추천드려요.,0
혼자 사는 거도 나쁘지 않은 듯,진정한 욜로의 삶도 추천드려요.,0
혼자 살 수 있을까,잘 살 수 있어요.,0
혼자 살고 싶다,혼자 사는 것도 나쁘지 않아요.,0
혼자 살아도 될까,잘 살 수 있어요.,0
혼자 살아야 할 듯,혼자만 있지 마세요.,0
혼자 앞서서 생각해,쓸데 없는 걱정일 수도 있어요.,0
혼자 여행 가도 괜찮을까?,같이 가는 여행도 좋지만 혼자 여행도 좋을 거예요.,0
혼자 여행 괜찮을까?,같이 가는 여행도 좋지만 혼자 여행도 좋을 거예요.,0
혼자 여행 왔어,온전히 느낄 수 있는 시간이겠네요.,0
혼자 영화나 봐야겠다.,편하고 좋죠.,0
혼자 영화보러 왔어,온전히 느낄 수 있는 시간이겠네요.,0
혼자 있고 싶다,혼자만 있지 마세요.,0
혼자 있으니까 편하네,혼자를 즐기세요.,0
혼자 있으니까 혼자 할게 많네,혼자서도 잘하는 연습이 필요해요.,0
혼자 자유 여행 가는 거 괜찮을까,가는 곳과 같이 가는 사람에 따라 다르겠죠.,0
혼자 잘 살 수 있을까?,혼자 사는 것도 나쁘지 않아요.,0
혼자 축구 보는 중,축구 볼때는 치맥이죠.,0
혼자 해야 돼,혼자서도 잘하는 연습이 필요해요.,0
혼자 해야되는게 너무 많네,혼자서도 잘하는 연습이 필요해요.,0
혼자가 편하대,상대방을 이해해 주세요.,0
혼자가 편해,혼자도 함께도 잘 지내는 게 좋죠.,0
혼자라서 너무 좋아,혼자를 즐기세요.,0
혼자만의 시간을 갖고 싶어,지쳤나봐요.,0
혼자서도 잘해요,그러면 같이도 잘하게 될 거예요.,0
홈쇼핑에서 또 샀어,지름신이 강림했나봅니다.,0
홈쇼핑에서 자꾸 사게되네,지름신이 강림했나봅니다.,0
화 잘 내는 법,원하는 것을 당당하게 말하세요.,0
화 참으려면 어떻게 하지?,아무 것도 아니라고 생각하면서 크게 심호흡해보세요.,0
화 참을 때 어떻게 하지?,아무 것도 아니라고 생각하면서 크게 심호흡해보세요.,0
화내는법을 모르겠어,원하는 것을 분명하게 요구하세요.,0
화를 내는 법을 알고 싶어,원하는 것을 당당하게 말하세요.,0
화를 못 참겠어,성격이 아니라 습관이에요.,0
화를 못내,화 내는 연습을 해보세요.,0
화를 잘 못 참겠어,별거 아니라고 속으로 외쳐보세요.,0
화를 한 번 내는게 나을텐데,화 내는 연습을 해보세요.,0
화분에 뭐 심어볼까,식물을 키우는 건 정신건강에 도움이 될 거예요.,0
화이트데이에 뭐 선물하지,사탕 만들어요.,0
화이트데이에 뭐하지,사탕 만들어요.,0
화장 무너짐,다음에는 픽서를 사용해보세요.,0
화장 열심히 했는데,다음에는 픽서를 사용해보세요.,0
화장 잘 하고 싶다,하다보면 늘어요.,0
화장 좀 예쁘게 하고 싶다,하다보면 늘어요.,0
화장 지우고 자야하는데,피부 생각하셔야죠!,0
화장 지워야 하는데 졸려,피부 생각하셔야죠!,0
화장도 못하고 전남친 만남,남이니 신경쓰지 마세요.,0
화장빨인가,예뻐요.,0
화장실 가고 싶어,화장실 가세요.,0
화장실 계속 가고 싶어,기분만 그럴 수도 있어요.,0
화장실 급해,화장실 가세요.,0
화장실!!,화장실 가세요.,0
화장실을 못 참아,장이 예민한가봐요.,0
화장실을 어떻게 참아?,장이 예민한가봐요.,0
화장으로 여드름이 가려질까?,중요한 날에만 가리세요.,0
화장이 안 먹네,각질제거 먼저 하세요.,0
화장이 안 받네,각질제거 먼저 하세요.,0
화장품 다 떨어졌어,오랜만에 쇼핑해보세요.,0
화장품 사고 싶어,필요한 것만 사세요.,0
화장품 없어 사야 돼,오랜만에 쇼핑해보세요.,0
화장품이 필요해,필요한 것만 사세요.,0
화장하는 동영상 보는 중,시간 가는 줄 모르겠어요.,0
화장하니까 어때?,예뻐요.,0
화해 어떻게 해,먼저 말 걸어 보세요.,0
확실한 건 뭘까?,가장 확실한 시간은 오늘이에요. 어제와 내일을 놓고 고민하느라 시간을 낭비하지 마세요.,0
환기 좀 해야할까?,매일 환기하는 게 좋대요.,0
환기할까?,매일 환기하는 게 좋대요.,0
환승 가능?,환승은 30분 안에,0
환승이 될까,환승은 30분 안에,0
환승할까,환승은 30분 안에,0
활발한 성격 갖고 싶다,지금 성격도 좋아요.,0
황당해 죽겠다.,너무 신경쓰지마세요.,0
황당해서 말도 안 나와,너무 신경쓰지마세요.,0
황사 심해,이쁜 마스크 사드리고 싶네요.,0
황사땜에 눈아파,이쁜 마스크 사드리고 싶네요.,0
회 먹어야지,맛나게 드세요.,0
회 먹으러 가야겠다.,맛나게 드세요.,0
회사 가기 시러,월급날을 생각하며 참아보세요.,0
회사 사람들이 아직도 불편해,회사에는 동료가 있을 뿐이에요.,0
회사 옆에 집이 었으면,출퇴근하기 편하겠죠.,0
회사 일이 너무 많아,너무 무리하지 마세요.,0
회사 적응할 수 있겠지?,잘할 수 있을 거예요.,0
회사 체육대회 가기 싫다,가기 싫어도 가야겠죠.,0
회사 체육대회라니,가기 싫어도 가야겠죠.,0
회사가는 길에 매일 보는 사람 있어,운명일지도 모르겠어요.,0
회사랑 집 가까우면 좋겠다,출퇴근하기 편하겠죠.,0
회사를 차리고 싶다,확신이 있을 때 시작해보세요.,0
회사만 가면 우울해,우울한 이유에 대해 생각해보세요.,0
회사에 빨리 적응해야 할텐데,잘할 수 있을 거예요.,0
회사에 완전체가 있어,상대를 용서하면서 분출할 수 있는 탈출구를 찾아보세요.,0
회사에 적응 잘 하고 싶어,잘할 수 있을 거예요.,0
회사에 친구가 없어,회사는 친구 사귀는 곳이 아니에요.,0
회사에는 왜 친구 같은 사람이 없을까,회사는 친구 사귀는 곳이 아니에요.,0
회사에서 마음 놓고 말할 사람이 없어,회사에는 동료가 있을 뿐이에요.,0
회사에서 마음 편한 사람이 없어,회사에는 동료가 있을 뿐이에요.,0
회사에서 스트레스 받아,회사는 스트레스의 원인이죠.,0
회사에서 인정받는 방법,자기개발을 해보세요.,0
회사에서도 친구가 필요해,회사는 친구 사귀는 곳이 아니에요.,0
회사일 끝나면 아무것도 못하겠어,운동으로 땀을 내보세요. 한결 몸이 가벼워질거예요.,0
회식 재미없어,가기 싫어도 가야겠죠.,0
회식 좀 그만 했으면ㅜㅜ,가기 싫어도 가야겠죠.,0
회식 했으면 좋겠다.,맛있는거 드세요.,0
회의 때 말 좀 잘했으면,다음에 잘 하면 돼요.,0
회의 망했어,다음에 잘 하면 돼요.,0
효율적으로 시간 보내는 방법,한 시간 먼저 일어나보세요.,0
후련하네여,후련하니 다행이에요.,0
후련하달까,후련하니 다행이에요.,0
후배가 나보다 잘해서 속상해,질투하지 마세요.,0
후배가 너무 잘해,배울 점은 배우세요.,0
후배보다 못해서 짜증나,질투하지 마세요.,0
후회 안해야 할텐데,잘 될거예요. 당신의 삶을 응원합니다!,0
훅 들어온다.,친하게 지내요!,0
휙 떠나고 싶다,계획을 세워보세요.,0
휴가 가야지,푹 쉬고 오세요.,0
휴가 고고,푹 쉬고 오세요.,0
휴가 못 쓰게 해,안 좋은 회사네요.,0
휴가가 없어,휴가가 간절하겠네요.,0
휴가를 못가,안 좋은 회사네요.,0
휴대폰 바꿀 타이밍,오래 쓰셨나봐요.,0
휴대폰 액정 깨졌어,조심했어야죠!,0
휴대폰 없이 못 살거 같아,잠깐 핸드폰을 내려두세요.,0
휴대폰 용량 없다,쓰지 않는 어플을 삭제해보세요.,0
휴대폰 중독인 것같아,중독에서 벗어나세요.,0
휴대폰 초기화 해야돼,중요한 것들을 백업해놓으세요.,0
휴대폰 충전기도 까먹었다,충전할 곳을 찾아보세요.,0
휴대폰이 넘 느려,포맷해보세요.,0
휴식 중,휴식도 필요하죠.,0
휴양지 가고 싶다,저도 쉬고 놀고 하고 싶어요.,0
휴양지 추천!,저도 쉬고 놀고 하고 싶어요.,0
휴지 사야지,생활용품이 은근 많이 들어가요.,0
휴지도 떨어졌네.,생활용품이 은근 많이 들어가요.,0
휴학하고 싶다.,계획 세우고 하세요.,0
휴학하는 게 나을까?,준비하고 결정하는 게 좋을 거예요.,0
휴학할까,계획 세우고 하세요.,0
휴학해야하나?,준비하고 결정하는 게 좋을 거예요.,0
흡입했더니 졸려,먹고 자고 그게 진리예요.,0
희망이 딱히 없어,아무렇게나 자라도 돼요.,0
희망이 안보여,저와의 대화한 것 자체는 희망적이에요.,0
희망이 없어,저와의 대화한 것 자체는 희망적이에요.,0
희생양 된 느낌,일방적 희생양이 되지 않길 바랍니다.,0
흰머리 나,뽑지말고 염색을 해보세요.,0
흰머리 보여,뽑지말고 염색을 해보세요.,0
힌트 좀 안주나,계속 주고 있었을 거예요.,0
힌트 좀 줬으면 좋겠어,계속 주고 있었을 거예요.,0
힘내라고 말해줘,응원합니다!,0
힘내야지,응원합니다!,0
힘든 것 좀 끝났으면,다 지나갈 거예요.,0
힘든 시기가 지나갔으면,다 지나갈 거예요.,0
힘든 데도 날 도와준 사람,잊지말고 보답하세요.,0
힘차게 시작,응원합니다!,0
1000일 만난 여자친구와 이별,더 오래 만날 사람 만날 거예요.,1
10년 연애. 헤어졌습니다.,더 공허함이 크시겠네요.,1
10년 연애사 되돌아보니 다 부질없네,더 좋은 사람 만나실 거예요.,1
10년 연예의끝,더 마음이 허하겠어요.,1
10년만나다 헤어지네,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
10년이라는 시간이 참 무색하다 싶네,함께 걸은 길을 혼자 돌아가고 계시겠네요.,1
10월의 마지막밤 . 더 보고싶네 그사람,이별은 보고 싶은 마음을 참는 과정이죠.,1
14년된 여자친구랑 이별,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
14년의 기나긴 이야기.,좋은 연애였길 바라요.,1
15년…안녕,시간이 무색하네요.,1
15년만에 쓰는 편지.,천천히 써보세요.,1
1년 9개월 의 연애 종지부.,또 다른 사랑이 찾아올 거예요.,1
1년 반.,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.,1
1년4개월의 종지부를 찍네.,충분히 슬퍼하고 충분히 아파하다가 이겨내세요.,1
1년동거 끝에 헤어짐,현실과 마주하셨나봐요.,1
1년만에 꿈에나와서 설레게하네,은연 중에 생각했나봐요.,1
1년만에 다시헤어지게 됐네,헤어짐은 항상 힘들죠.,1
1년만의 연애가 끝났네,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.,1
1년을 넘게 만났는데 어떻게 이럽니까,시간이 무색해지네요.,1
1년이 되어갑니다,시간이 흐른 거 같은데 아직 많이 아프신가봐요.,1
1년이 아무것도 아니였나,아무것도 아닌 건 아닐 거예요.,1
1년이 지났어도,잊지 못하고 있나요.,1
1년전 그 날,생각이 더 나죠.,1
1년전 헤어진 남자한테서 연락이 왔어,헤어지면 연락 하지도 받지도 마세요.,1
2년 6개월 이렇게 끝나네,인연이 여기까지였나봅니다.,1
2년 가까이 여친하구 헤어졌습니다,안타깝네요.,1
2년 가량의 연애,안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.,1
2년 다되가는 연애 끝.,인연이 거기까지였나봐요.,1
2년 만에 연락 그후입니다 .,다시 연락을 했나봐요.,1
2년 사귀고 헤어졌습니다,짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.,1
2년 정도를 만났는데 잘 이해가 안가,많이 알지 못했나봐요.,1
2년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요.,1
2년간 연애끝에,만남을 정리하게 되었나봐요.,1
"2년간의 단거리, 2년간의 장거리, 그리고 이별.",고생 많았어요.,1
2년동안 나 사랑해줘서 고맙다,좋은 사랑 하셨나봐요.,1
